timestamp, power.draw [W]
2026/09/01 22:50:15.849, 57.78 W
2026/09/01 22:50:16.849, 59.23 W
2026/09/01 22:50:17.849, 56.62 W
2026/09/01 22:50:18.850, 59.79 W
2026/09/01 22:50:19.850, 56.36 W
2026/09/01 22:50:20.850, 59.85 W
2026/09/01 22:50:21.851, 56.77 W
2026/09/01 22:50:22.851, 59.81 W
2026/09/01 22:50:23.851, 48.37 W
2026/09/01 22:50:24.852, 49.74 W
2026/09/01 22:50:25.852, 47.44 W
2026/09/01 22:50:26.852, 50.10 W
2026/09/01 22:50:27.852, 48.67 W
2026/09/01 22:50:28.853, 50.96 W
2026/09/01 22:50:29.853, 48.56 W
2026/09/01 22:50:30.853, 51.00 W
2026/09/01 22:50:31.853, 48.43 W
2026/09/01 22:50:32.854, 50.90 W
2026/09/01 22:50:33.854, 49.75 W
2026/09/01 22:50:34.854, 49.81 W
2026/09/01 22:50:35.854, 50.56 W
2026/09/01 22:50:36.855, 48.65 W
2026/09/01 22:50:37.855, 50.83 W
2026/09/01 22:50:38.855, 48.58 W
2026/09/01 22:50:39.855, 50.07 W
2026/09/01 22:50:40.856, 48.83 W
2026/09/01 22:50:41.856, 50.90 W
2026/09/01 22:50:42.856, 49.49 W
2026/09/01 22:50:43.856, 49.61 W
2026/09/01 22:50:44.856, 50.51 W
2026/09/01 22:50:45.857, 48.62 W
2026/09/01 22:50:46.857, 50.92 W
2026/09/01 22:50:47.857, 48.51 W
2026/09/01 22:50:48.857, 50.88 W
2026/09/01 22:50:49.858, 48.39 W
2026/09/01 22:50:50.858, 50.82 W
2026/09/01 22:50:51.858, 49.84 W
2026/09/01 22:50:52.859, 48.84 W
2026/09/01 22:50:53.859, 50.51 W
2026/09/01 22:50:54.859, 48.36 W
2026/09/01 22:50:55.860, 50.83 W
2026/09/01 22:50:56.860, 48.50 W
2026/09/01 22:50:57.860, 50.99 W
2026/09/01 22:50:58.860, 48.68 W
2026/09/01 22:50:59.861, 50.23 W
2026/09/01 22:51:00.861, 49.94 W
2026/09/01 22:51:01.861, 49.08 W
2026/09/01 22:51:02.861, 51.03 W
2026/09/01 22:51:03.862, 48.54 W
2026/09/01 22:51:04.862, 50.95 W
2026/09/01 22:51:05.862, 48.65 W
2026/09/01 22:51:06.862, 50.14 W
2026/09/01 22:51:07.862, 49.10 W
2026/09/01 22:51:08.862, 50.18 W
2026/09/01 22:51:09.863, 49.82 W
2026/09/01 22:51:10.863, 48.72 W
2026/09/01 22:51:11.863, 51.03 W
2026/09/01 22:51:12.863, 48.54 W
2026/09/01 22:51:13.864, 51.01 W
2026/09/01 22:51:14.864, 48.75 W
2026/09/01 22:51:15.864, 50.84 W
2026/09/01 22:51:16.865, 49.64 W
2026/09/01 22:51:17.865, 49.78 W
2026/09/01 22:51:18.865, 50.81 W
2026/09/01 22:51:19.865, 48.19 W
2026/09/01 22:51:20.866, 51.06 W
2026/09/01 22:51:21.866, 48.91 W
2026/09/01 22:51:22.866, 51.07 W
2026/09/01 22:51:23.866, 48.89 W
2026/09/01 22:51:24.867, 51.01 W
2026/09/01 22:51:25.867, 49.88 W
2026/09/01 22:51:26.867, 49.78 W
2026/09/01 22:51:27.867, 51.09 W
2026/09/01 22:51:28.867, 48.58 W
2026/09/01 22:51:29.868, 50.95 W
2026/09/01 22:51:30.868, 48.73 W
2026/09/01 22:51:31.868, 50.82 W
2026/09/01 22:51:32.868, 48.14 W
2026/09/01 22:51:33.868, 50.43 W
2026/09/01 22:51:34.869, 50.19 W
2026/09/01 22:51:35.869, 49.25 W
2026/09/01 22:51:36.869, 51.10 W
2026/09/01 22:51:37.870, 48.86 W
2026/09/01 22:51:38.870, 51.06 W
2026/09/01 22:51:39.870, 49.18 W
2026/09/01 22:51:40.870, 51.16 W
2026/09/01 22:51:41.870, 49.58 W
2026/09/01 22:51:42.871, 49.67 W
2026/09/01 22:51:43.871, 50.93 W
2026/09/01 22:51:44.871, 48.69 W
2026/09/01 22:51:45.871, 50.76 W
2026/09/01 22:51:46.871, 47.94 W
2026/09/01 22:51:47.872, 51.07 W
2026/09/01 22:51:48.872, 48.84 W
2026/09/01 22:51:49.872, 51.08 W
2026/09/01 22:51:50.873, 49.92 W
2026/09/01 22:51:51.873, 49.39 W
2026/09/01 22:51:52.873, 51.08 W
2026/09/01 22:51:53.874, 48.63 W
2026/09/01 22:51:54.874, 51.12 W
2026/09/01 22:51:55.874, 48.87 W
2026/09/01 22:51:56.874, 51.10 W
2026/09/01 22:51:57.874, 49.25 W
2026/09/01 22:51:58.875, 50.62 W
2026/09/01 22:51:59.875, 49.71 W
2026/09/01 22:52:00.875, 49.22 W
2026/09/01 22:52:01.875, 51.19 W
2026/09/01 22:52:02.876, 48.55 W
2026/09/01 22:52:03.876, 51.08 W
2026/09/01 22:52:04.876, 48.70 W
2026/09/01 22:52:05.876, 50.91 W
2026/09/01 22:52:06.877, 49.26 W
2026/09/01 22:52:07.877, 49.81 W
2026/09/01 22:52:08.877, 50.76 W
2026/09/01 22:52:09.877, 49.14 W
2026/09/01 22:52:10.877, 51.14 W
2026/09/01 22:52:11.878, 48.88 W
2026/09/01 22:52:12.878, 53.12 W
2026/09/01 22:52:13.878, 64.14 W
2026/09/01 22:52:14.878, 68.34 W
2026/09/01 22:52:15.879, 64.31 W
2026/09/01 22:52:16.879, 68.30 W
2026/09/01 22:52:17.879, 65.39 W
2026/09/01 22:52:18.879, 67.16 W
2026/09/01 22:52:19.879, 66.87 W
2026/09/01 22:52:20.879, 65.83 W
2026/09/01 22:52:21.879, 68.41 W
2026/09/01 22:52:22.880, 64.60 W
2026/09/01 22:52:23.880, 68.54 W
2026/09/01 22:52:24.880, 64.21 W
2026/09/01 22:52:25.880, 68.59 W
2026/09/01 22:52:26.880, 64.28 W
2026/09/01 22:52:27.881, 68.71 W
2026/09/01 22:52:28.881, 64.90 W
2026/09/01 22:52:29.881, 68.48 W
2026/09/01 22:52:30.882, 65.17 W
2026/09/01 22:52:31.882, 67.23 W
2026/09/01 22:52:32.882, 63.68 W
2026/09/01 22:52:33.883, 48.80 W
2026/09/01 22:52:34.883, 48.05 W
2026/09/01 22:52:35.884, 49.98 W
2026/09/01 22:52:36.884, 47.68 W
2026/09/01 22:52:37.884, 50.14 W
2026/09/01 22:52:38.885, 47.89 W
2026/09/01 22:52:39.885, 49.67 W
2026/09/01 22:52:40.886, 48.99 W
2026/09/01 22:52:41.886, 48.47 W
2026/09/01 22:52:42.887, 50.05 W
2026/09/01 22:52:43.887, 47.89 W
2026/09/01 22:52:44.887, 49.90 W
2026/09/01 22:52:45.888, 47.74 W
2026/09/01 22:52:46.888, 49.72 W
2026/09/01 22:52:47.888, 47.91 W
2026/09/01 22:52:48.888, 49.59 W
2026/09/01 22:52:49.888, 49.27 W
2026/09/01 22:52:50.888, 48.30 W
2026/09/01 22:52:51.889, 49.97 W
2026/09/01 22:52:52.889, 47.56 W
2026/09/01 22:52:53.889, 49.87 W
2026/09/01 22:52:54.889, 47.82 W
2026/09/01 22:52:55.889, 49.93 W
2026/09/01 22:52:56.890, 48.18 W
2026/09/01 22:52:57.890, 49.23 W
2026/09/01 22:52:58.890, 49.60 W
2026/09/01 22:52:59.890, 47.83 W
2026/09/01 22:53:00.891, 49.81 W
2026/09/01 22:53:01.891, 47.44 W
2026/09/01 22:53:02.892, 48.94 W
2026/09/01 22:53:03.892, 46.94 W
2026/09/01 22:53:04.893, 49.46 W
2026/09/01 22:53:05.893, 47.23 W
2026/09/01 22:53:06.893, 49.01 W
2026/09/01 22:53:07.894, 48.37 W
2026/09/01 22:53:08.894, 47.97 W
2026/09/01 22:53:09.895, 49.47 W
2026/09/01 22:53:10.895, 47.37 W
2026/09/01 22:53:11.896, 49.47 W
2026/09/01 22:53:12.896, 47.19 W
2026/09/01 22:53:13.897, 49.40 W
2026/09/01 22:53:14.897, 47.28 W
2026/09/01 22:53:15.897, 48.64 W
2026/09/01 22:53:16.898, 48.47 W
2026/09/01 22:53:17.898, 47.29 W
2026/09/01 22:53:18.899, 49.15 W
2026/09/01 22:53:19.899, 47.13 W
2026/09/01 22:53:20.899, 49.44 W
2026/09/01 22:53:21.900, 47.45 W
2026/09/01 22:53:22.900, 49.40 W
2026/09/01 22:53:23.901, 47.81 W
2026/09/01 22:53:24.901, 48.82 W
2026/09/01 22:53:25.902, 48.98 W
2026/09/01 22:53:26.902, 47.58 W
2026/09/01 22:53:27.903, 49.29 W
2026/09/01 22:53:28.903, 47.34 W
2026/09/01 22:53:29.904, 49.37 W
2026/09/01 22:53:30.904, 47.35 W
2026/09/01 22:53:31.904, 49.25 W
2026/09/01 22:53:32.905, 47.78 W
2026/09/01 22:53:33.905, 48.15 W
2026/09/01 22:53:34.905, 49.16 W
2026/09/01 22:53:35.905, 47.28 W
2026/09/01 22:53:36.906, 49.31 W
2026/09/01 22:53:37.906, 47.26 W
2026/09/01 22:53:38.906, 49.30 W
2026/09/01 22:53:39.906, 47.06 W
2026/09/01 22:53:40.906, 49.25 W
2026/09/01 22:53:41.906, 48.12 W
2026/09/01 22:53:42.907, 48.01 W
2026/09/01 22:53:43.907, 49.15 W
2026/09/01 22:53:44.907, 46.92 W
2026/09/01 22:53:45.907, 49.17 W
2026/09/01 22:53:46.908, 46.45 W
2026/09/01 22:53:47.908, 49.26 W
2026/09/01 22:53:48.908, 47.09 W
2026/09/01 22:53:49.908, 48.79 W
2026/09/01 22:53:50.908, 48.32 W
2026/09/01 22:53:51.909, 48.04 W
2026/09/01 22:53:52.909, 49.26 W
2026/09/01 22:53:53.909, 47.19 W
2026/09/01 22:53:54.910, 49.27 W
2026/09/01 22:53:55.910, 47.21 W
2026/09/01 22:53:56.910, 49.12 W
2026/09/01 22:53:57.911, 47.21 W
